movieId,title,releaseYear,genres,description
31,"The Shining",1980,"Drama|Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father."
30,"WALLÂ·E",2008,"Animation|Adventure|Family","A small waste-collecting robot inadvertently embarks on a space journey."
29,"Django Unchained",2012,"Drama|Western","A freed slave sets out to rescue his wife from a brutal plantation owner."
28,"Rear Window",1954,"Mystery|Thriller","A wheelchair-bound photographer spies on his neighbors."
27,"Alien",1979,"Horror|Sci-Fi","A deadly extraterrestrial creature stalks the crew of a spaceship."
26,"Apocalypse Now",1979,"Drama|Mystery|War","A U.S. Army officer is serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel."
25,"Memento",2000,"Mystery|Thriller","A man with short-term memory loss attempts to track down his wife's murderer."
24,"The Prestige",2006,"Drama|Mystery|Sci-Fi","Two stage magicians engage in competitive one-upmanship."
23,"Whiplash",2014,"Drama|Music","A promising young drummer enrolls at a cut-throat music conservatory."
15,"Seven Samurai",1954,"Action|Adventure|Drama","A poor village hires seven samurai to protect them from bandits."
5,"Spirited Away",2001,"Animation|Adventure|Family","A girl's journey in a world of spirits."
52,"Mad Max: Fury Road",2015,"Action|Adventure|Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler."
6,"Pulp Fiction",1994,"Crime|Drama","Intertwining stories of criminals in Los Angeles."
53,"Her",2013,"Drama|Romance|Sci-Fi","A lonely writer develops an unlikely relationship with an operating system."
7,"Forrest Gump",1994,"Comedy|Drama|Romance","An Alabama man experiences historical events."
32,"Amelie",2001,"Comedy|Romance","A whimsical Parisian waitress orchestrates the lives of those around her."
33,"Oldboy",2003,"Action|Drama|Mystery","A man imprisoned for 15 years seeks vengeance."
34,"Braveheart",1995,"Biography|Drama|History","William Wallace leads the Scots in revolt against the English."
35,"Toy Story",1995,"Animation|Adventure|Comedy","A cowboy doll is threatened by a new spaceman toy."
36,"Inglourious Basterds",2009,"Adventure|Drama|War","A group of Jewish-American soldiers plot to assassinate Nazi leaders."
20,"Life Is Beautiful",1997,"Comedy|Drama|Romance","A Jewish father shields his son from the horrors of a concentration camp."
43,"Vertigo",1958,"Mystery|Romance|Thriller","A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman."
21,"Gladiator",2000,"Action|Adventure|Drama","A former Roman General seeks revenge against the corrupt emperor."
44,"Singin' in the Rain",1952,"Comedy|Musical|Romance","A silent film production company navigates the transition to sound."
22,"The Departed",2006,"Crime|Drama|Thriller","An undercover cop and a mole in the police attempt to identify each other."
45,"Casablanca",1942,"Drama|Romance|War","A cynical American expatriate struggles to decide whether to help his former lover and her fugitive husband escape the Nazis."
46,"Modern Times",1936,"Comedy|Drama|Romance","The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
19,"Saving Private Ryan",1998,"Drama|War","Following the Normandy landings, a group of U.S. soldiers go behind enemy lines."
42,"North by Northwest",1959,"Adventure|Mystery|Thriller","A New York City advertising executive goes on the run after being mistaken for a government agent."
18,"The Silence of the Lambs",1991,"Crime|Drama|Thriller","An FBI cadet must receive help from an incarcerated cannibal."
41,"Lawrence of Arabia",1962,"Adventure|Biography|Drama","The story of T.E. Lawrence, the English officer who united Arab tribes."
17,"Se7en",1995,"Crime|Drama|Mystery","Two detectives track a serial killer based on the seven deadly sins."
40,"Citizen Kane",1941,"Drama|Mystery","Following the death of a publishing tycoon, a reporter pieces together his life."
16,"City of God",2002,"Crime|Drama","Two boys growing up in a violent neighborhood of Rio de Janeiro."
39,"Requiem for a Dream",2000,"Drama","The drug-induced utopias of four Coney Island people are shattered."
38,"Eternal Sunshine of the Spotless Mind",2004,"Drama|Romance|Sci-Fi","A couple undergoes a procedure to erase each other from their memories."
37,"Reservoir Dogs",1992,"Crime|Drama|Thriller","After a simple jewelry heist goes wrong, the surviving criminals suspect a police informant."
47,"Psycho",1960,"Horror|Mystery|Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run."
48,"Blade Runner",1982,"Action|Drama|Sci-Fi","A blade runner must pursue and terminate four replicants who stole a ship in space."
1,"Inception",2010,"Action|Sci-Fi|Thriller","Dream invasion for corporate espionage."
49,"Fargo",1996,"Crime|Drama|Thriller","A pregnant Minnesota police chief investigates roadside homicides."
2,"The Matrix",1999,"Action|Sci-Fi","A hacker discovers the simulated reality and his role."
50,"No Country for Old Men",2007,"Crime|Drama|Thriller","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong."
3,"Interstellar",2014,"Adventure|Drama|Sci-Fi","Space exploration through a wormhole to save humanity."
51,"There Will Be Blood",2007,"Drama","A story of family, religion, hatred, oil and madness, centered around a turn-of-the-century prospector."
4,"Parasite",2019,"Comedy|Drama|Thriller","Class struggle between two families."
58,"Joker",2019,"Crime|Drama|Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society."
11,"Goodfellas",1990,"Biography|Crime|Drama","The story of Henry Hill and his life in the mob."
59,"1917",2019,"Drama|War","Two young British soldiers during the First World War are given an impossible mission."
12,"The Lord of the Rings: The Return of the King",2003,"Action|Adventure|Drama","Gandalf and Aragorn lead the World of Men against Sauron's army."
60,"Everything Everywhere All at Once",2022,"Action|Adventure|Comedy","An aging Chinese immigrant is swept up in an insane adventure."
13,"Star Wars: Episode V - The Empire Strikes Back",1980,"Action|Adventure|Fantasy","The Rebels scatter after the Empire attacks their base."
61,"judaai",1997,"anger|love|money","heartbreak"
14,"The Godfather",1972,"Crime|Drama","The aging patriarch of an organized crime dynasty transfers control."
57,"La La Land",2016,"Comedy|Drama|Music","Two aspiring artists fall in love while pursuing their dreams in Los Angeles."
10,"Fight Club",1999,"Drama","An insomniac office worker looking for a way to change his life."
56,"Moonlight",2016,"Drama","A young African-American man grapples with his identity and sexuality."
9,"Schindler's List",1993,"Biography|Drama|History","A German businessman saves Jews during the Holocaust."
55,"Get Out",2017,"Horror|Mystery|Thriller","A young African-American visits his white girlfriend's parents for the weekend."
8,"The Dark Knight",2008,"Action|Crime|Drama","Batman faces the Joker's chaos in Gotham."
54,"Arrival",2016,"Drama|Mystery|Sci-Fi","A linguist works with the military to communicate with alien lifeforms."
